gene name	KO	thrshld	score	E-value	KO definition	MAG	CP	Count
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006493_1	K03980	214.8	470.8	2.30E-141	putative peptidoglycan lipid II flippase	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006493_2	K09117	49.5	177	1.60E-52	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006713_3	K07263	282.93	645.6	4.30E-194	zinc protease [EC:3.4.24.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006713_4	K02014	101.73	189.3	4.20E-56	iron complex outermembrane recepter protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006713_8	K09950	55.33	58	3.40E-16	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006713_9	K02016	96.37	141.8	7.00E-42	iron complex transport system substrate-binding protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006713_10	K02013	260.77	314	3.70E-94	iron complex transport system ATP-binding protein [EC:7.2.2.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006713_11	K02015	56.87	282.8	1.40E-84	iron complex transport system permease protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007252_2	K19294	264.1	420.5	2.70E-126	alginate O-acetyltransferase complex protein AlgI	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007252_3	K02108	159.2	236.5	1.30E-70	F-type H+-transporting ATPase subunit a	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007252_4	K02110	67.77	80.3	5.00E-23	F-type H+-transporting ATPase subunit c	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007252_9	K11381	502.73	834.4	3.60E-251	2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007252_10	K00059	265.13	268.6	3.50E-80	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007252_12	K08223	144.1	294	3.90E-88	MFS transporter, FSR family, fosmidomycin resistance protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007363_2	K00819	498.57	726.5	8.30E-219	ornithine--oxo-acid transaminase [EC:2.6.1.13]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007363_4	K00831	115.6	519	3.00E-156	phosphoserine aminotransferase [EC:2.6.1.52]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007363_5	K00058	336.37	340.8	3.50E-102	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007363_7	K06978	248.5	454.3	2.20E-136	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007363_8	K19304	168.1	208.3	6.30E-62	murein DD-endopeptidase [EC:3.4.24.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007363_9	K00705	158.93	466.9	4.90E-140	4-alpha-glucanotransferase [EC:2.4.1.25]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_2	K03595	138.47	401.7	1.10E-120	GTPase	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_3	K03699	316.23	321.3	3.30E-96	putative hemolysin	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_4	K07042	57.7	148	1.20E-43	probable rRNA maturation factor	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_5	K06217	220	507	2.60E-152	phosphate starvation-inducible protein PhoH and related proteins	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_6	K01876	290.17	808.7	1.90E-243	aspartyl-tRNA synthetase [EC:6.1.1.12]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_7	K01892	282.8	356.4	7.90E-107	histidyl-tRNA synthetase [EC:6.1.1.21]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_8	K01726	171.77	190	1.40E-56	gamma-carbonic anhydrase [EC:4.2.1.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_10	K00940	142.4	184.7	7.20E-55	nucleoside-diphosphate kinase [EC:2.7.4.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_11	K07098	92.53	200.9	8.70E-60	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_13	K00175	236.67	277.3	8.50E-83	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007502_14	K00174	263.7	483.4	2.70E-145	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007790_6	K03698	132.53	341	3.20E-102	3'-5' exoribonuclease [EC:3.1.-.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007790_7	K17686	775.67	1006.6	2.70E-303	P-type Cu+ transporter [EC:7.2.2.8]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007790_7	K01533	707.63	949.1	9.60E-286	P-type Cu2+ transporter [EC:7.2.2.9]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007790_8	K07090	37.8	118.4	1.00E-34	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007790_9	K02372	74.87	166.8	2.10E-49	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007790_10	K07315	169.33	279.3	1.70E-83	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10007790_11	K17836	89.9	166.6	2.80E-49	beta-lactamase class A [EC:3.5.2.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008027_6	K03455	159.5	563.2	2.70E-169	monovalent cation:H+ antiporter-2, CPA2 family	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008029_1	K07133	95.3	188.2	7.40E-56	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008187_11	K07133	95.3	268.8	2.90E-80	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008507_3	K03496	131.37	230.5	1.10E-68	chromosome partitioning protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008507_7	K01303	235.63	275.7	2.60E-82	acylaminoacyl-peptidase [EC:3.4.19.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008507_8	K00809	60	178.5	7.60E-53	deoxyhypusine synthase [EC:2.5.1.46]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008535_3	K14393	292.1	565.8	3.30E-170	cation/acetate symporter	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008535_5	K07182	131.3	496.4	4.00E-149	CBS domain-containing protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10008535_6	K01895	785.7	1087.5	0	acetyl-CoA synthetase [EC:6.2.1.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10009382_1	K09800	114.6	140.1	3.10E-41	translocation and assembly module TamB	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10009539_12	K07133	95.3	248.7	3.50E-74	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10009792_3	K00406	105.17	172.4	6.40E-51	cytochrome c oxidase cbb3-type subunit III	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10009792_5	K09926	34.17	39.2	1.40E-10	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10009792_9	K00184	237.9	449.6	6.70E-135	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010081_1	K01206	62.03	393	7.50E-118	alpha-L-fucosidase [EC:3.2.1.51]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010081_4	K07064	48.4	65.7	1.80E-18	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010081_5	K03469	102.9	205.7	3.30E-61	ribonuclease HI [EC:3.1.26.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010081_7	K06978	248.5	459.8	4.90E-138	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010262_1	K01667	684.83	696.6	1.30E-209	tryptophanase [EC:4.1.99.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010262_3	K02481	544.23	556.2	1.90E-167	two-component system, NtrC family, response regulator	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010262_4	K06974	42.73	103.7	2.70E-30	archaemetzincin [EC:3.4.-.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010262_5	K02482	313.43	357.6	4.20E-107	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010413_1	K22468	95.53	238.6	5.20E-71	polyphosphate kinase [EC:2.7.4.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010475_2	K16786	368.77	515.9	5.80E-155	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010475_4	K00343	329.57	497.5	1.40E-149	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010475_5	K00342	550.7	711.8	1.70E-214	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010475_6	K00341	529.4	797.2	4.20E-240	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010475_7	K00340	95.3	146.1	1.70E-43	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010475_8	K00339	127.13	177.9	6.20E-53	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010475_9	K00337	451.63	515.3	8.30E-155	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010494_1	K07391	238.83	346.8	6.70E-104	magnesium chelatase family protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010494_2	K08307	166.77	435.6	1.20E-130	membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010502_6	K00335	594.87	787.6	2.00E-237	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010502_7	K00334	157.47	175	1.10E-51	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010648_2	K07221	80.7	348.6	1.70E-104	phosphate-selective porin OprO and OprP	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010648_5	K04757	51.5	90.6	2.80E-26	serine/threonine-protein kinase RsbW [EC:2.7.11.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010681_1	K02409	130.53	388.5	1.70E-116	flagellar M-ring protein FliF	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010681_2	K02408	31.57	89.3	9.10E-26	flagellar hook-basal body complex protein FliE	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010681_3	K02388	59.4	145.6	4.80E-43	flagellar basal-body rod protein FlgC	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010681_4	K02387	70.1	100.2	3.30E-29	flagellar basal-body rod protein FlgB	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010681_8	K03413	137.17	161.3	1.20E-47	two-component system, chemotaxis family, chemotaxis protein CheY	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010681_9	K03409	47.97	89.1	1.10E-25	chemotaxis protein CheX	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010681_12	K22468	95.53	149.8	4.40E-44	polyphosphate kinase [EC:2.7.4.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010713_2	K07175	224.2	382.1	1.50E-114	PhoH-like ATPase	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010713_4	K08676	368.77	1207.3	0	tricorn protease [EC:3.4.21.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010713_5	K00886	143.73	166.5	2.40E-49	polyphosphate glucokinase [EC:2.7.1.63]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010713_6	K03654	632.33	645.9	3.40E-194	ATP-dependent DNA helicase RecQ [EC:3.6.4.12]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010713_7	K07090	37.8	53	7.70E-15	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010843_1	K01768	174.33	274.8	3.10E-82	adenylate cyclase [EC:4.6.1.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10010843_4	K01286	159.87	182.2	6.00E-54	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10011020_1	K14387	193.5	438	2.20E-131	solute carrier family 5 (high affinity choline transporter), member 7	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10011020_2	K01434	405.13	843.7	6.60E-254	penicillin amidase [EC:3.5.1.11]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10011206_2	K17836	89.9	205.6	4.10E-61	beta-lactamase class A [EC:3.5.2.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10011206_6	K02761	393.3	406.3	5.10E-122	PTS system, cellobiose-specific IIC component	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10011250_3	K07106	190.07	404.3	2.40E-121	N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10011250_4	K04763	312.13	339.9	9.30E-102	integrase/recombinase XerD	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
